Date,Open,High,Low,Close,Adj Close,Volume
2016-03-17,25300.000000,25920.000000,25140.000000,25260.000000,1243.045532,12343450
2016-03-18,25560.000000,25560.000000,25260.000000,25460.000000,1252.887451,11265700
2016-03-21,25480.000000,25580.000000,25160.000000,25340.000000,1246.982178,9058500
2016-03-22,25340.000000,25580.000000,25240.000000,25380.000000,1248.950806,10143600
2016-03-23,25380.000000,25580.000000,25240.000000,25580.000000,1258.792847,9870900
2016-03-24,25580.000000,25800.000000,25320.000000,25640.000000,1261.745361,10939750
2016-03-25,25660.000000,25800.000000,25560.000000,25760.000000,1267.650757,7172300
2016-03-28,25760.000000,26000.000000,25760.000000,25880.000000,1273.555908,6060900
2016-03-29,25880.000000,26000.000000,25700.000000,25800.000000,1269.618896,8622700
2016-03-30,26200.000000,26420.000000,26040.000000,26160.000000,1287.334595,13380250
2016-03-31,26120.000000,26280.000000,25960.000000,26240.000000,1291.271362,19130750
2016-04-01,25980.000000,26180.000000,25420.000000,25580.000000,1258.792847,13557800
2016-04-04,25580.000000,26100.000000,25580.000000,26100.000000,1284.381958,9402300
2016-04-05,25980.000000,25980.000000,25200.000000,25200.000000,1240.093018,11815950
2016-04-06,25380.000000,25820.000000,25360.000000,25700.000000,1264.697998,9211700
2016-04-07,26000.000000,26000.000000,25160.000000,25380.000000,1248.950806,12939750
2016-04-08,25380.000000,25380.000000,24800.000000,24920.000000,1226.314087,12593400
2016-04-11,24920.000000,25420.000000,24920.000000,25320.000000,1245.998169,6034650
2016-04-12,25400.000000,25620.000000,25320.000000,25500.000000,1254.856079,6702700
2016-04-14,26000.000000,26040.000000,25780.000000,26000.000000,1279.460938,16766350
2016-04-15,26180.000000,26200.000000,25800.000000,26000.000000,1279.460938,6829950
2016-04-18,25900.000000,26100.000000,25840.000000,25980.000000,1278.476807,6423700
2016-04-19,25880.000000,25920.000000,25660.000000,25760.000000,1267.650757,7238300
2016-04-20,25640.000000,26000.000000,25640.000000,25980.000000,1278.476807,8598600
2016-04-21,26000.000000,26020.000000,25760.000000,25880.000000,1273.555908,7254450
2016-04-22,25880.000000,25880.000000,25540.000000,25600.000000,1259.776855,5741500
2016-04-25,25700.000000,25700.000000,25420.000000,25620.000000,1260.761108,4597850
2016-04-26,25700.000000,26100.000000,25660.000000,25920.000000,1275.524170,8345050
2016-04-27,25880.000000,26000.000000,25720.000000,26000.000000,1279.460938,8297300
2016-04-28,26000.000000,26000.000000,25220.000000,25300.000000,1245.014038,14653450
2016-04-29,25200.000000,25340.000000,24840.000000,24900.000000,1225.329834,16253900
2016-05-02,24940.000000,25240.000000,24900.000000,25000.000000,1230.251099,7027600
2016-05-03,25340.000000,25400.000000,25120.000000,25220.000000,1241.077393,7903300
2016-05-04,25440.000000,25800.000000,25240.000000,25800.000000,1269.618896,14702750
2016-05-09,25800.000000,26000.000000,25700.000000,25980.000000,1278.476807,13718100
2016-05-10,25980.000000,26000.000000,25760.000000,25920.000000,1275.524170,8559550
2016-05-11,25920.000000,25980.000000,25740.000000,25840.000000,1271.587280,8834400
2016-05-12,25840.000000,25840.000000,25500.000000,25620.000000,1260.761108,7615100
2016-05-13,25620.000000,25620.000000,25020.000000,25060.000000,1233.203613,12284900
2016-05-16,25060.000000,25260.000000,24940.000000,24960.000000,1228.282593,11720150
2016-05-17,24980.000000,25300.000000,24980.000000,25280.000000,1244.029785,9183550
2016-05-18,25280.000000,25420.000000,25100.000000,25360.000000,1247.966553,9169600
2016-05-19,25360.000000,25540.000000,25320.000000,25400.000000,1249.935059,10012450
2016-05-20,25400.000000,25600.000000,25380.000000,25380.000000,1248.950806,7960550
2016-05-23,25380.000000,25720.000000,25380.000000,25720.000000,1265.682129,8112550
2016-05-24,25720.000000,25780.000000,25360.000000,25420.000000,1250.919067,10434600
2016-05-25,25660.000000,25960.000000,25480.000000,25900.000000,1274.539795,11862750
2016-05-26,25980.000000,26060.000000,25900.000000,25920.000000,1275.524170,12653650
2016-05-27,26000.000000,26020.000000,25460.000000,25640.000000,1261.745361,13744550
2016-05-30,25940.000000,25940.000000,25480.000000,25600.000000,1259.776855,10315350
2016-05-31,25600.000000,26000.000000,25360.000000,25840.000000,1271.587280,62527700
2016-06-01,25960.000000,26820.000000,25900.000000,26660.000000,1311.939453,23504000
2016-06-02,27000.000000,27440.000000,26920.000000,27300.000000,1343.433960,23806950
2016-06-03,27400.000000,27580.000000,27280.000000,27540.000000,1355.244385,17066200
2016-06-07,27720.000000,28040.000000,27600.000000,27960.000000,1375.912598,23142150
2016-06-08,28380.000000,28380.000000,27780.000000,28120.000000,1383.786377,18808100
2016-06-09,28160.000000,28600.000000,28120.000000,28600.000000,1407.407104,25768750
2016-06-10,28480.000000,28500.000000,28080.000000,28120.000000,1383.786377,14484050
2016-06-13,27920.000000,27920.000000,27240.000000,27420.000000,1349.339478,15248300
2016-06-14,27420.000000,27720.000000,27380.000000,27600.000000,1358.196899,12273050
2016-06-15,27700.000000,28320.000000,27660.000000,28260.000000,1390.675659,15334450
